Time,CPU Usage (%),Memory Usage (MB),Free Memory (MB)
99.3550088,0.0,487727104,25844613120
99.37015,0.0,487727104,25844699136
99.3861285,0.0,487727104,25844613120
99.4021182,0.0,487727104,25844613120
99.4182029,0.0,487727104,25844547584
99.4336788,0.0,487727104,25843163136
99.4496912,0.0,487727104,25839783936
99.4657463,0.0,487727104,25839783936
99.4817578,0.0,487727104,25837314048
99.4972895,0.0,487727104,25839878144
99.5128199,0.0,487727104,25839878144
99.529281,0.0,487727104,25839878144
99.5451359,0.0,487727104,25839742976
99.5609175,0.0,487727104,25839742976
99.5769406,0.0,487727104,25839742976
99.5926399,0.0,487727104,25839771648
99.6082247,0.0,487727104,25839771648
99.6237434,0.0,487727104,25839771648
99.6395229,0.0,487727104,25839771648
99.6557372,0.0,487727104,25839771648
99.6710127,0.0,487727104,25839763456
99.6861066,0.0,487727104,25839763456
99.701451,0.0,487727104,25839763456
99.716261,0.0,487727104,25839763456
99.7318557,0.0,487727104,25839763456
99.7472433,0.0,487727104,25839763456
99.7628784,0.0,487727104,25839763456
99.7784094,0.0,487727104,25839763456
99.7945385,0.0,487727104,25839779840
99.809762,0.0,487727104,25839779840
99.8250973,0.0,487727104,25839788032
99.8403325,0.0,487727104,25839788032
99.8559279,0.0,487743488,25839788032
99.8723802,0.0,487743488,25840328704
99.887937,0.0,487743488,25842221056
99.9034163,0.0,487743488,25842221056
99.9188865,0.0,487743488,25842323456
99.9341407,0.0,487743488,25842253824
99.9500814,0.0,487743488,25842253824
99.9662479,0.0,487743488,25842253824
99.9819991,0.0,487743488,25842253824
99.9975849,0.0,487743488,25842253824
100.012863,0.0,487743488,25842253824
100.0288307,0.0,487743488,25842253824
100.0439995,0.0,487743488,25842253824
100.0600373,0.0,487743488,25842253824
100.0757074,0.0,487743488,25842188288
100.0915638,0.0,487743488,25842188288
100.1077392,0.0,487743488,25842188288
100.1246071,0.0,487743488,25842188288
100.1407826,0.0,487743488,25842188288
100.1565404,0.0,487743488,25842188288
100.1719268,0.0,487743488,25842188288
100.1877763,0.0,487743488,25842249728
100.2038422,0.0,487743488,25842249728
100.2192532,0.0,487743488,25842253824
100.2341944,0.0,487743488,25842253824
100.2501715,0.0,487743488,25842388992
100.2658179,0.0,487743488,25842388992
100.2815676,0.0,487743488,25842388992
100.2973603,0.0,487743488,25842388992
100.3128819,0.0,487743488,25842388992
100.3280638,0.0,487743488,25842388992
100.3428493,0.0,487743488,25842388992
100.3575641,0.0,487743488,25842388992
100.3732443,0.0,487743488,25842388992
100.3895528,97.7,487849984,25842343936
100.4057353,0.0,487862272,25842360320
100.4217007,97.7,488026112,25842331648
100.4368877,104.2,488095744,25842331648
100.4527322,0.0,488099840,25842331648
100.4677507,97.7,488181760,25842315264
100.4838333,104.2,488198144,25842438144
100.4999292,0.0,488198144,25842438144
100.5150342,0.0,488206336,25842446336
100.5304318,0.0,488206336,25842446336
100.5464649,0.0,488206336,25842446336
100.562229,0.0,488206336,25842446336
100.5775877,0.0,488206336,25842446336
100.5926739,0.0,488206336,25842446336
100.6077659,0.0,488206336,25842446336
100.6240794,0.0,488206336,25842446336
100.6392126,0.0,488206336,25842429952
100.6546055,0.0,488206336,25842429952
100.6705173,0.0,488210432,25842417664
100.6861854,0.0,488210432,25842384896
100.7021533,0.0,488210432,25842409472
100.7180148,0.0,488210432,25842429952
100.7334342,0.0,488210432,25842429952
100.7493303,0.0,488210432,25842429952
100.7650834,0.0,488210432,25842429952
100.7799655,0.0,488210432,25842429952
100.7952393,0.0,488210432,25842429952
100.8109323,0.0,488210432,25842331648
100.8264733,0.0,488210432,25842331648
100.8420663,0.0,488210432,25842331648
100.8578496,0.0,488210432,25842331648
100.8735697,0.0,488210432,25842331648
100.8895729,0.0,488210432,25842331648
100.9049051,0.0,488235008,25842331648
100.9197772,0.0,488235008,25842331648
100.9355656,0.0,488235008,25842372608
100.9506862,0.0,488239104,25842360320
100.9673254,0.0,488239104,25842360320
100.9827019,0.0,488243200,25842360320
100.9979719,0.0,488243200,25842360320
101.0143121,0.0,488243200,25842360320
101.030243,0.0,488247296,25842290688
101.0457766,0.0,488247296,25840963584
101.0614259,0.0,488247296,25836699648
101.0774589,0.0,488247296,25836421120
101.0934594,0.0,488247296,25835110400
101.1086027,0.0,488329216,25833877504
101.1235567,97.7,488329216,25833160704
101.1390943,97.7,488415232,25832771584
101.1560577,104.2,488525824,25831616512
101.1709386,0.0,491360256,25828122624
101.1868076,104.2,488554496,25829773312
101.2028655,0.0,490397696,25827614720
101.2178987,0.0,491270144,25825071104
101.2338136,104.2,492322816,25825390592
101.2494354,0.0,492339200,25825906688
101.2653769,97.7,492339200,25825615872
101.280629,0.0,490147840,25826566144
101.2964543,97.7,483950592,25829003264
101.3123744,0.0,483950592,25828929536
101.3277517,0.0,483950592,25828569088
101.343609,0.0,482377728,25828614144
101.359569,0.0,467398656,25834983424
101.3757069,0.0,467398656,25862004736
101.391732,0.0,467398656,25862004736
101.4075902,0.0,467398656,25862004736
101.4226448,0.0,467398656,25862004736
101.4388718,0.0,467398656,25862004736
101.4545233,0.0,467398656,25862004736
101.4700368,0.0,467398656,25862004736
101.4852597,0.0,467398656,25862004736
101.5006394,0.0,467398656,25862004736
101.5164721,0.0,467398656,25862004736
101.5325023,0.0,467398656,25862004736
101.5485304,0.0,467398656,25862004736
101.5642056,0.0,467398656,25862004736
101.5799809,0.0,467398656,25862004736
101.5957409,0.0,467398656,25862004736
101.6113928,0.0,467398656,25862004736
101.6270114,0.0,467398656,25862004736
101.643,0.0,467398656,25862004736
101.6582276,0.0,467398656,25862004736
101.6743568,0.0,467398656,25861996544
101.6901917,0.0,467398656,25862062080
101.7061963,0.0,467398656,25862062080
101.7213477,0.0,467398656,25862062080
101.7373025,0.0,467398656,25862062080
101.7528697,0.0,467398656,25862062080
101.7688781,0.0,467398656,25862062080
101.7850093,0.0,467398656,25862062080
101.8010929,0.0,467398656,25862062080
101.817117,0.0,467398656,25862062080
101.8330758,0.0,467398656,25862049792
101.8488507,0.0,467398656,25862041600
101.8642007,0.0,467398656,25862041600
101.8801848,0.0,467398656,25862041600
101.8962362,0.0,467398656,25862041600
101.9119745,0.0,467398656,25862041600
101.9277412,0.0,467398656,25862041600
101.9429043,0.0,467398656,25862103040
101.9588943,0.0,467398656,25862103040
101.9748889,0.0,467398656,25862090752
101.9901179,0.0,467398656,25862090752
102.0054345,0.0,467398656,25852874752
102.0209948,0.0,467398656,25853136896
102.0365952,0.0,467398656,25853136896
102.0522342,0.0,467398656,25853136896
102.0673347,0.0,467398656,25853136896
102.0825472,0.0,467398656,25853136896
102.098468,0.0,467398656,25853136896
102.1139162,0.0,467398656,25854513152
102.1298217,0.0,467398656,25860554752
102.1448604,0.0,467398656,25860554752
102.1603403,0.0,467398656,25860575232
102.176351,0.0,467398656,25860575232
102.1914065,0.0,467398656,25860575232
102.2070188,0.0,467398656,25860575232
102.2226567,0.0,467398656,25860575232
102.2379299,0.0,467398656,25860575232
102.2528293,0.0,467398656,25860575232
102.2686476,0.0,467398656,25860575232
102.2835931,0.0,467398656,25860575232
102.2996367,0.0,467398656,25860575232
102.3148195,0.0,467398656,25860575232
102.3300755,0.0,467398656,25860575232
102.3460643,0.0,467398656,25860575232
102.3618438,0.0,467398656,25860575232
102.3773388,0.0,467398656,25860575232
102.3927623,0.0,467398656,25860575232
102.4087491,0.0,467398656,25860575232
102.4240181,0.0,467488768,25860575232
102.4394265,0.0,467849216,25860599808
102.4546574,0.0,467849216,25860599808
102.4706069,0.0,471175168,25860579328
102.486382,104.2,473239552,25860579328
102.5023234,97.7,475103232,25860579328
102.5179448,97.7,475230208,25860579328
102.5338563,0.0,475230208,25860579328
102.5494947,0.0,475230208,25860579328
102.5651835,0.0,475230208,25860579328
102.5808914,0.0,475230208,25860579328
102.5973123,0.0,475230208,25860677632
102.6129879,0.0,475230208,25862336512
102.6286672,0.0,475230208,25862336512
102.6443491,0.0,475230208,25862324224
102.6598497,0.0,475230208,25862324224
102.6760784,0.0,475230208,25862316032
102.6934743,0.0,475230208,25862332416
102.7072856,0.0,475230208,25862332416
102.7225999,0.0,475230208,25862332416
102.7382779,0.0,475230208,25862324224
102.75358,0.0,475230208,25862316032
102.7688571,0.0,475230208,25862316032
102.7848101,0.0,475230208,25862316032
102.8007644,0.0,475230208,25862316032
102.8164874,0.0,475230208,25862316032
102.8318483,0.0,475230208,25862316032
102.8475507,0.0,475230208,25862316032
102.8632098,0.0,475230208,25862397952
102.8792421,0.0,475230208,25862397952
102.8949352,0.0,475230208,25862397952
102.9106774,0.0,475230208,25862397952
102.9257243,0.0,475230208,25862397952
102.9422514,0.0,475230208,25862397952
102.9575145,0.0,475230208,25862397952
102.9726867,0.0,475230208,25862410240
102.9881949,0.0,475230208,25862410240
103.0033536,0.0,475230208,25862410240
103.0184983,0.0,475230208,25862410240
103.0338848,0.0,475230208,25862410240
103.0488886,0.0,475230208,25862410240
103.0642581,0.0,475230208,25862410240
103.0794985,0.0,475230208,25859555328
103.0956799,0.0,475230208,25859555328
103.1105836,0.0,475230208,25859555328
103.1260834,0.0,475230208,25859555328
103.1418464,0.0,475230208,25859555328
103.1569993,0.0,475230208,25859555328
103.1729106,0.0,475230208,25859555328
103.1878944,0.0,475230208,25859555328
103.2033807,0.0,475230208,25859555328
103.2194593,0.0,475230208,25859555328
103.2342807,0.0,475230208,25859555328
103.2501836,0.0,475230208,25859543040
103.2663931,0.0,475230208,25859543040
103.2820876,0.0,475230208,25859543040
103.2983567,0.0,475230208,25859543040
103.3146238,0.0,475230208,25859547136
103.3304468,0.0,475230208,25859547136
103.34689,0.0,475234304,25859547136
103.3623851,0.0,475234304,25859547136
103.3788623,0.0,475234304,25859547136
103.3950695,0.0,475234304,25859547136
103.4108678,0.0,475234304,25859547136
103.4263439,0.0,475234304,25859547136
103.4425583,0.0,475234304,25859547136
103.4584436,0.0,475234304,25859551232
103.4743113,0.0,475234304,25859551232
103.4895814,0.0,475234304,25859551232
103.5055967,97.7,475234304,25859547136
103.5211118,0.0,475234304,25859547136
103.5369943,0.0,475234304,25859547136
103.5524836,0.0,475234304,25859547136
103.5686164,0.0,475234304,25859547136
103.5838347,97.7,475234304,25859547136
103.5992382,0.0,475234304,25859547136
103.6158722,0.0,475234304,25859547136
103.6313083,0.0,475234304,25859547136
103.6471443,0.0,475234304,25859547136
103.6626582,0.0,475234304,25859538944
103.6789212,0.0,475234304,25859538944
103.6940753,0.0,475234304,25859538944
103.7094644,0.0,475234304,25859538944
103.725766,0.0,475234304,25859538944
103.7411755,0.0,475234304,25859538944
103.7564495,0.0,475234304,25859538944
103.771831,0.0,475234304,25859538944
103.7879623,0.0,475234304,25859538944
103.8034983,0.0,475234304,25859538944
103.8186846,0.0,475234304,25859538944
103.8349719,0.0,475234304,25859538944
103.8508166,0.0,475234304,25859538944
103.8666786,0.0,475234304,25859563520
103.8829154,0.0,475234304,25859563520
103.8989319,0.0,475234304,25859563520
103.9136404,0.0,475234304,25859563520
103.9305502,0.0,475234304,25859563520
103.9463475,0.0,475234304,25859563520
103.9616545,0.0,475234304,25859760128
103.9782015,0.0,475234304,25861025792
103.9940892,0.0,475234304,25861025792
104.010533,0.0,475234304,25861025792
104.0260132,0.0,475234304,25861025792
104.041679,0.0,475234304,25861025792
104.0574251,0.0,475234304,25861025792
104.0734841,0.0,475234304,25861025792
104.0893147,0.0,475246592,25861025792
104.1050209,0.0,475246592,25861025792
104.1207763,0.0,475246592,25861025792
104.136633,0.0,475262976,25861025792
104.1519173,0.0,475262976,25861025792
104.1678256,0.0,475262976,25861025792
104.1831539,0.0,475262976,25861025792
104.1983458,0.0,475262976,25861001216
104.213871,0.0,475262976,25860984832
104.2293631,0.0,475262976,25860984832
104.2446211,0.0,475275264,25860984832
104.2602936,0.0,475275264,25860866048
104.2756877,0.0,475275264,25860866048
104.2910299,0.0,475275264,25860866048
104.3068611,0.0,475275264,25860866048
104.3226211,0.0,475275264,25860866048
104.3377177,0.0,475275264,25860890624
104.3530098,0.0,475275264,25860890624
104.3689647,0.0,475275264,25860890624
104.3842045,0.0,475275264,25860890624
104.3999933,0.0,475275264,25860890624
104.4160775,0.0,475275264,25860890624
104.4325095,0.0,475275264,25860890624
104.4474292,0.0,475275264,25860890624
104.4626123,0.0,475275264,25860866048
104.4782737,0.0,475275264,25860833280
104.4934984,0.0,475275264,25860833280
104.509381,0.0,475275264,25860927488
104.5245593,0.0,475275264,25860833280
104.5400274,0.0,475275264,25860833280
104.555479,0.0,475275264,25860833280
104.5715553,0.0,475275264,25860833280
104.5874602,0.0,475275264,25860833280
104.6020704,0.0,475275264,25860833280
104.6182827,0.0,475275264,25860833280
104.6341201,0.0,475275264,25860820992
104.6490631,0.0,475275264,25860820992
104.6650689,0.0,475279360,25860812800
